feature,importance
fees_as_share_max,0.05886190957913611
fees_as_share_total,0.05130912069749487
total_txs,0.051074573040997946
transacted_w_address_total,0.04944372751572005
fees_min,0.04943656004064454
fees_as_share_median,0.04834739939086966
fees_median,0.04467813557587299
blocks_btwn_txs_mean,0.04368629497686396
fees_as_share_mean,0.039538818429601
fees_mean,0.03590358656821811
fees_max,0.03543144343951395
blocks_btwn_txs_max,0.034034066748507945
fees_total,0.03259952733767304
fees_as_share_min,0.03015611194501832
blocks_btwn_txs_total,0.028824897922814945
btc_sent_mean,0.022013940718322658
btc_received_max,0.021847660932265967
btc_received_median,0.021592502975753675
btc_received_mean,0.02123675513739498
btc_sent_total,0.0205510998936995
btc_transacted_min,0.019271110156785308
btc_sent_max,0.019255582057558177
blocks_btwn_output_txs_total,0.018456975368370418
btc_transacted_mean,0.018349561143920952
btc_transacted_total,0.017718732982831876
btc_sent_median,0.017229104506345377
blocks_btwn_output_txs_max,0.016277313857840665
btc_received_total,0.01611679480378888
btc_transacted_median,0.016059041945756917
blocks_btwn_output_txs_mean,0.01565987288093819
btc_transacted_max,0.014476176703726114
num_txs_as_receiver,0.012185742761218107
btc_sent_min,0.00925636423584616
blocks_btwn_txs_median,0.00808257501315746
btc_received_min,0.007213683295075397
blocks_btwn_txs_min,0.00601486412470959
num_txs_as_sender,0.005326705527290157
transacted_w_address_mean,0.003998404825336721
blocks_btwn_output_txs_median,0.0038481282581451677
blocks_btwn_input_txs_mean,0.0027524487436861485
transacted_w_address_max,0.0025656470519607507
blocks_btwn_output_txs_min,0.0023814724455170225
blocks_btwn_input_txs_total,0.001981855083774651
num_addr_transacted_multiple,0.001919900571751011
blocks_btwn_input_txs_max,0.0014366312019686584
blocks_btwn_input_txs_median,0.0008838775511092378
blocks_btwn_input_txs_min,0.0004535659971824121
transacted_w_address_median,0.00016391340372978389
transacted_w_address_min,9.582063429448708e-05
