feature,importance
fees_as_share_total,0.0547669354509618
Time_step,0.05194037197973853
fees_as_share_max,0.051081822842024484
total_txs,0.048397189715489376
fees_min,0.04688248711832618
fees_as_share_median,0.04315083936378729
transacted_w_address_total,0.04271194952007498
fees_as_share_mean,0.039646327117154836
fees_median,0.03923243719513684
blocks_btwn_txs_mean,0.03908552814562763
blocks_btwn_txs_max,0.034825772389084485
fees_max,0.0333444922575875
fees_mean,0.032941651546350516
fees_total,0.028176876859065936
lifetime_in_blocks,0.026254550180701542
fees_as_share_min,0.02523984045617846
blocks_btwn_txs_total,0.025122463109753558
btc_sent_mean,0.020895448091904748
btc_transacted_min,0.020666536661719265
btc_received_mean,0.019636398870523535
btc_received_median,0.018103404265873126
btc_received_total,0.017607598709598046
btc_transacted_mean,0.01709971444304369
btc_sent_total,0.016854263695368566
btc_transacted_median,0.01652155328629391
btc_received_max,0.016101670060776424
btc_transacted_total,0.015338668908511177
btc_sent_median,0.015040547745630578
blocks_btwn_output_txs_mean,0.014562107680932166
btc_sent_max,0.01441452186452644
btc_transacted_max,0.013738616898481732
num_txs_as_receiver,0.012831515030582434
blocks_btwn_output_txs_total,0.012428245803407895
blocks_btwn_output_txs_max,0.010661738075656044
blocks_btwn_txs_min,0.008644028160367976
blocks_btwn_txs_median,0.00839698964681379
num_timesteps_appeared_in,0.008120364088262623
btc_received_min,0.005757463946072602
btc_sent_min,0.005355789798103778
num_txs_as_sender,0.004535613464890102
transacted_w_address_mean,0.00405056384284999
blocks_btwn_output_txs_median,0.003907930177965351
num_addr_transacted_multiple,0.0031525759161052293
transacted_w_address_max,0.0030595601569720202
blocks_btwn_input_txs_mean,0.0028101727683893215
blocks_btwn_input_txs_total,0.002520192419142685
blocks_btwn_output_txs_min,0.0020313898909990347
blocks_btwn_input_txs_max,0.0008459154736443148
blocks_btwn_input_txs_median,0.0007586220126786985
blocks_btwn_input_txs_min,0.0005294297638186872
transacted_w_address_median,0.00012882492348397474
transacted_w_address_min,9.048820956615443e-05
